index,track_id,hashtag,instrumentalness,liveness,speechiness,danceability,valence,loudness,tempo,acousticness,energy
4906775,5b33f6168a5f2489d8a9f6b1d81a99b1,acoustic,4.31e-05,0.115,0.0453,0.522,0.224,-4.311,140.021,3.14e-05,0.9
5020255,47919f438a3492115511f89ff25ac059,acoustic,0.000141,0.129,0.0369,0.515,0.096,-9.935,91.841,0.0102,0.43
678497,d8b512f397ad637c602100f43caefae5,acoustic,0.837,0.118,0.046,0.432,0.65,-10.76,125.79,0.68,0.36
5019833,b9d7070cf382033bba0fb32dd8fb3522,acoustic,1.07e-06,0.0948,0.0388,0.53,0.407,-5.612,127.976,0.0262,0.733
550198,2b95a08483049be1d900e3e4aa6748f4,acoustic,0.0,0.261,0.133,0.395,0.551,-6.86,169.088,0.00143,0.917
4996709,63165fc7afb90f6e2b3113f867b63940,acoustic,0.0,0.125,0.0861,0.631,0.789,-5.996,95.904,0.185,0.821
4906965,b075685be51781cb3ab731f10947c0b2,acoustic,2.13e-05,0.416,0.0339,0.51,0.423,-9.842,71.847,0.46,0.59
5731952,5ee6ad7bcb17ff22c5181c25c578fdd3,acoustic,0.0,0.145,0.0223,0.579,0.201,-6.188,87.09,0.0257,0.611
5705132,f7c4ceee08ae1543391c2efe01cdb787,acoustic,0.0,0.34,0.0308,0.36,0.205,-6.457,77.15,0.323,0.684
2492281,8aa87e257dcd8aa0ebe6aa5351f197c1,acoustic,2.05e-05,0.119,0.0305,0.573,0.471,-7.595,77.196,0.464,0.565
4930650,34bfaa8b7d65690a785db674a447c300,acoustic,0.378,0.2,0.104,0.653,0.62,-9.649,168.054,0.000942,0.59
543414,8c2abc20dcf776cac3372d4b98624abb,acoustic,0.00506,0.0805,0.0273,0.668,0.261,-8.69,134.15,0.573,0.361
465950,70259266b31c1eb476804b9012f9bbab,acoustic,1.71e-05,0.11,0.0243,0.56,0.21,-7.224,146.448,0.727,0.442
1046641,6009c43b293ff4c06367bc071d946385,acoustic,0.00561,0.111,0.0405,0.632,0.0558,-7.618,119.872,0.187,0.54
4999497,ac75c5101233567f5ebfed355a8f8a80,acoustic,0.0,0.0987,0.0363,0.714,0.8,-4.596,95.05,0.0551,0.868
6031548,f57582f8d345b1e68aa29d74149df89e,acoustic,0.0,0.159,0.029,0.472,0.0736,-4.649,82.952,0.0129,0.671
4904193,ee67b313db5a7fb1fdff43cc7f305e72,acoustic,1.14e-06,0.114,0.0344,0.57,0.516,-10.897,84.948,0.869,0.172
5019593,f8d9314ab625266f646b36431a061f20,acoustic,0.000215,0.0665,0.0424,0.725,0.784,-9.942,79.984,0.3,0.583
5376763,69c3bbeabcdb1a9eff17527227986401,acoustic,7.74e-06,0.3,0.0459,0.585,0.43,-5.898,77.987,0.0572,0.776
550409,9fa4331100e393661f9deb93ccc7cfde,acoustic,0.0,0.0624,0.0405,0.49,0.344,-4.951,81.848,0.0121,0.746
360324,0f6c3e42bc32d33710b9e066a14d6374,acoustic,0.0,0.102,0.0317,0.737,0.424,-3.76,110.023,0.0149,0.615
5245063,64bc635240e3bd053070ac38b5ed7077,acoustic,0.0,0.108,0.0311,0.678,0.268,-7.656,119.978,0.529,0.561
4903734,f82e07baf8ee1df486fa002781a41ef1,acoustic,1.86e-05,0.385,0.0517,0.427,0.17,-5.621,131.927,0.0125,0.744
4901220,c23f5d954f1e2707a07e31e8b9621c7c,acoustic,0.00349,0.0919,0.0314,0.446,0.277,-6.504,119.964,0.213,0.794
5001919,43843099191d6bab16e807482f6eabeb,acoustic,0.00336,0.151,0.0309,0.599,0.534,-4.013,140.046,0.448,0.785
